"","pkg_name","reviewer","url","updated_in_12m","date_updated","vignette","comments","decision"
"82","CoOL","imke","https://CRAN.R-project.org/package=CoOL","","","","",""
"83","copent","imke","https://CRAN.R-project.org/package=copent","","","","",""
"84","CoRpower","imke","https://CRAN.R-project.org/package=CoRpower","","","","",""
"85","corrcoverage","imke","https://CRAN.R-project.org/package=corrcoverage","","","","",""
"86","countdata","imke","https://CRAN.R-project.org/package=countdata","","","","",""
"87","Counterfactual","imke","https://CRAN.R-project.org/package=Counterfactual","","","","",""
"88","COVID19","imke","https://CRAN.R-project.org/package=COVID19","","","","",""
"89","covid19dbcand","imke","https://CRAN.R-project.org/package=covid19dbcand","","","","",""
"90","covidregionaldata","imke","https://CRAN.R-project.org/package=covidregionaldata","","","","",""
"91","CovSel","imke","https://CRAN.R-project.org/package=CovSel","","","","",""
"92","CovSelHigh","imke","https://CRAN.R-project.org/package=CovSelHigh","","","","",""
"93","cpa","imke","https://CRAN.R-project.org/package=cpa","","","","",""
"94","creditmodel","imke","https://CRAN.R-project.org/package=creditmodel","","","","",""
"95","csabounds","imke","https://CRAN.R-project.org/package=csabounds","","","","",""
"96","cspp","imke","https://CRAN.R-project.org/package=cspp","","","","",""
"97","csppData","imke","https://CRAN.R-project.org/package=csppData","","","","",""
"98","CTP","imke","https://CRAN.R-project.org/package=CTP","","","","",""
"99","curvecomp","imke","https://CRAN.R-project.org/package=curvecomp","","","","",""
"100","cvcrand","imke","https://CRAN.R-project.org/package=cvcrand","","","","",""
"101","dabestr","imke","https://CRAN.R-project.org/package=dabestr","","","","",""
"102","dagitty","imke","https://CRAN.R-project.org/package=dagitty","","","","",""
"103","datetime","imke","https://CRAN.R-project.org/package=datetime","","","","",""
"104","DelayedEffect.Design","imke","https://CRAN.R-project.org/package=DelayedEffect.Design","","","","",""
"105","DevTreatRules","imke","https://CRAN.R-project.org/package=DevTreatRules","","","","",""
"106","did","imke","https://CRAN.R-project.org/package=did","","","","",""
"107","DIDmultiplegt","imke","https://CRAN.R-project.org/package=DIDmultiplegt","","","","",""
"108","dipm","imke","https://CRAN.R-project.org/package=dipm","","","","",""
"109","dipw","imke","https://CRAN.R-project.org/package=dipw","","","","",""
"110","DirectEffects","imke","https://CRAN.R-project.org/package=DirectEffects","","","","",""
"111","dlsem","imke","https://CRAN.R-project.org/package=dlsem","","","","",""
"112","dosearch","imke","https://CRAN.R-project.org/package=dosearch","","","","",""
"113","DoubleExpSeq","imke","https://CRAN.R-project.org/package=DoubleExpSeq","","","","",""
"114","dpa","imke","https://CRAN.R-project.org/package=dpa","","","","",""
"115","DRDID","imke","https://CRAN.R-project.org/package=DRDID","","","","",""
"116","drtmle","imke","https://CRAN.R-project.org/package=drtmle","","","","",""
"117","dstat","imke","https://CRAN.R-project.org/package=dstat","","","","",""
"118","DTR","imke","https://CRAN.R-project.org/package=DTR","","","","",""
"119","DTRlearn2","imke","https://CRAN.R-project.org/package=DTRlearn2","","","","",""
"120","DTRreg","imke","https://CRAN.R-project.org/package=DTRreg","","","","",""
"121","dtrSurv","imke","https://CRAN.R-project.org/package=dtrSurv","","","","",""
"122","dynia","imke","https://CRAN.R-project.org/package=dynia","","","","",""
"123","DynTxRegime","imke","https://CRAN.R-project.org/package=DynTxRegime","","","","",""
"124","easypower","imke","https://CRAN.R-project.org/package=easypower","","","","",""
"125","ebal","imke","https://CRAN.R-project.org/package=ebal","","","","",""
"126","eCAR","imke","https://CRAN.R-project.org/package=eCAR","","","","",""
"127","EcoHydRology","imke","https://CRAN.R-project.org/package=EcoHydRology","","","","",""
"128","ecorest","imke","https://CRAN.R-project.org/package=ecorest","","","","",""
"129","ecotoxicology","imke","https://CRAN.R-project.org/package=ecotoxicology","","","","",""
"130","edwards97","imke","https://CRAN.R-project.org/package=edwards97","","","","",""
"131","eefAnalytics","imke","https://CRAN.R-project.org/package=eefAnalytics","","","","",""
"132","eff2","imke","https://CRAN.R-project.org/package=eff2","","","","",""
"133","EffectLiteR","imke","https://CRAN.R-project.org/package=EffectLiteR","","","","",""
"134","effectsizescr","imke","https://CRAN.R-project.org/package=effectsizescr","","","","",""
"135","EffectTreat","imke","https://CRAN.R-project.org/package=EffectTreat","","","","",""
"136","efflog","imke","https://CRAN.R-project.org/package=efflog","","","","",""
"137","einet","imke","https://CRAN.R-project.org/package=einet","","","","",""
"138","endogenous","imke","https://CRAN.R-project.org/package=endogenous","","","","",""
"139","endoSwitch","imke","https://CRAN.R-project.org/package=endoSwitch","","","","",""
"140","epidata","imke","https://CRAN.R-project.org/package=epidata","","","","",""
"141","epiGWAS","imke","https://CRAN.R-project.org/package=epiGWAS","","","","",""
"142","estimatr","imke","https://CRAN.R-project.org/package=estimatr","","","","",""
"143","ETC","imke","https://CRAN.R-project.org/package=ETC","","","","",""
"144","eudract","imke","https://CRAN.R-project.org/package=eudract","","","","",""
